mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;gastototal;factoregatur
012019;2;20180100014586;4;2;12;98;41.773998326;504.85667712
012019;2;20180100014587;4;2;11;98;41.773998326;1009.7133542
012019;2;20180100014813;4;2;03;98;41.773998326;240.42593932
012019;2;20180100015477;4;1;07;98;91.112401468;308.57969227
012019;2;20180100015976;4;3;05;98;253.9908465;324.42772064
012019;2;20180100016520;4;2;05;98;41.773998326;236.07294832
032019;2;20180100016535;4;1;06;98;94.871633381;20.646226863
022019;2;20180100016535;4;1;06;98;92.57401107;74.155479988
012019;2;20180100016535;4;1;06;98;91.112401468;102.18404042
012019;2;20180100018340;4;2;03;98;41.773998326;480.85187864
012019;2;20180100018511;4;2;03;98;41.773998326;961.70375728
012019;2;20180100019363;3;1;05;01;85.137445697;110.14252388
012019;2;20180100020856;4;1;15;98;91.112401468;470.40186948
012019;2;20180100020868;3;1;05;01;85.137445697;110.14252388
012019;2;20180100021049;4;3;05;98;253.9908465;324.42772064
012019;2;20180100021051;4;3;05;98;253.9908465;324.42772064
012019;2;20180100021060;4;3;05;98;253.9908465;324.42772064
012019;2;20180100021063;4;3;05;98;253.9908465;324.42772064
012019;2;20180100021195;4;3;05;98;253.9908465;53.772515207
012019;2;20180100021477;4;2;03;98;41.773998326;240.42593932
012019;2;20180100022361;4;2;05;98;41.773998326;236.07294832
012019;2;20180100022762;4;1;05;98;91.112401468;89.629876302
012019;2;20180100022772;3;1;05;01;85.137445697;110.14252388
012019;2;20180100022805;3;3;05;09;346.46090958;442.90979987
012019;2;20180100022819;4;3;03;98;253.9908465;53.772515207
012019;2;20180100022829;4;3;08;98;253.9908465;161.31754562
012019;2;20180100022831;4;3;07;98;253.9908465;107.54503041
012019;2;20180100022834;4;3;08;98;253.9908465;107.54503041
012019;2;20180100023235;4;2;03;98;41.773998326;240.42593932
022019;2;20180100025321;4;1;07;98;92.57401107;706.34392439
032019;2;20180100025321;4;1;07;98;94.871633381;825.53194074
012019;2;20180100025321;4;1;07;98;91.112401468;1040.4236978
012019;2;20180100025395;3;3;05;09;340.66975476;231.03601548
012019;2;20180100025396;3;3;05;09;346.46090958;221.45489993
012019;2;20180100025401;3;3;05;09;346.46090958;221.45489993
012019;2;20180100025402;3;3;05;09;340.66975476;231.03601548
012019;2;20180100025404;4;3;05;98;253.9908465;107.54503041
012019;2;20180100026196;3;3;05;09;346.46090958;442.90979987
012019;2;20180100026198;3;3;05;09;346.46090958;221.45489993
012019;2;20180100026202;3;3;05;09;346.46090958;221.45489993
012019;2;20180100026205;3;3;05;09;340.66975476;231.03601548
012019;2;20180100027321;4;3;05;98;253.9908465;162.21386032
012019;2;20180100027328;3;3;05;09;346.46090958;442.90979987
012019;2;20180100027329;3;3;12;09;346.46090958;221.45489993
012019;2;20180100027330;3;3;07;09;346.46090958;885.81959974
012019;2;20180100027331;3;3;05;09;346.46090958;442.90979987
012019;2;20180100028650;3;3;05;09;340.66975476;462.07203096
