Tipo de dato;Agregados macroeconómicos;Niveles y tasas;Periodo;Total
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2003T3;42.604
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2003T2;42.139
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2003T1;41.339
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2002T4;41.240
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2002T3;40.455
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2002T2;40.045
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2002T1;39.483
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2001T4;38.990
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2001T3;38.204
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2001T2;37.546
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2001T1;36.844
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2000T4;36.123
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2000T3;35.218
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2000T2;34.685
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2000T1;34.134
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1999T4;33.306
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1999T3;32.799
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1999T2;32.121
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1999T1;31.777
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1998T4;31.289
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1998T3;30.505
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1998T2;30.061
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1998T1;29.353
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1997T4;29.554
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1997T3;28.673
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1997T2;28.208
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1997T1;28.081
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1996T4;27.726
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1996T3;27.682
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1996T2;27.167
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1996T1;26.769
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1995T4;27.072
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1995T3;26.415
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1995T2;26.342
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;1995T1;25.987
